Alder;Kvinder;Mænd;Kvinder_levetid;Mænd_levetid
40;0.000427342729918936;0.000802773197038986;0.0292371001785642;0.0353508951700839
41;0.000493641830107871;0.000908561449256586;0.0312608532688598;0.0363974883411682
42;0.000559524293668252;0.00103196392264625;0.0340283605751073;0.0371187427427253
43;0.000622012713857201;0.00115969573096364;0.0370597756698046;0.0376522963856943
44;0.000670416436458603;0.00126651531017072;0.0392481863144976;0.0379409941530888
45;0.000713910984788851;0.00136401546633504;0.040931453370898;0.0379787449874425
46;0.000767984603164484;0.00147454445362843;0.0420756431551484;0.0381010671654275
47;0.000843718046093281;0.00158862749998993;0.0422098830268296;0.0382506062885305
48;0.000951617143493874;0.0017480934555195;0.0415944694839576;0.0383832431620001
49;0.00109279297130121;0.00194394604291519;0.0407389536914353;0.0387952590258665
50;0.00126170994876119;0.00214907470059119;0.039345432879858;0.0393203270188055
51;0.00142933071918734;0.0023677540742096;0.037908436135104;0.0394268851047973
52;0.00159317130558705;0.002599150058724;0.0369701215049486;0.0389885625750035
53;0.00175430451874693;0.00284664507377851;0.0360836689115219;0.0377409419719401
54;0.00194606426315056;0.00314106824370061;0.0346107083566785;0.035236627673006
55;0.00216151295065591;0.0035002016758855;0.0331542080438858;0.0325200045219047
56;0.00243154234248239;0.00392945523399928;0.0310224599558253;0.029813930751909
57;0.00275515263616581;0.00443115367475611;0.028625228254225;0.0270654494292147
58;0.00311492777506457;0.00500073115142372;0.0264187966135341;0.0250212905797625
59;0.00348781846308627;0.00563144417599558;0.0247636428988769;0.0236225402892473
60;0.00391279290841781;0.00630506774337468;0.0233612259000037;0.0224824077237378
61;0.00434653352484149;0.0070473979336602;0.0222006940146473;0.0215924074945826
62;0.00481107824720783;0.00787569389222294;0.0213881116504189;0.0209300495409513
63;0.00537689985882741;0.00885063458868239;0.0202581544851909;0.0200909814574287
64;0.00603662564270442;0.00991807519558293;0.019286543827934;0.0193528716105918
65;0.00679412490695938;0.0110373122771915;0.0185729942203603;0.0187972095992093
66;0.00761736530188044;0.0121731881965986;0.0185630404349245;0.0184652178002211
67;0.0084589119240907;0.01337584326925;0.0192013967085197;0.0184323530164876
68;0.00929446963950512;0.0145890541605461;0.0206264293806312;0.0189539696581151
69;0.0100804059465769;0.0159003646636059;0.0224900818088321;0.0198848042440711
70;0.010870532634715;0.017438474274212;0.0244317061234377;0.0210966793119582
71;0.0117541755484427;0.0191269545504069;0.0260519662813778;0.0224841934727029
72;0.0127514599432605;0.0209636089390116;0.0270252886627291;0.0237952552794734
73;0.0140153986764648;0.0230418238708244;0.0274086176753868;0.0247246492999281
74;0.0155524923070507;0.0253320512921196;0.0270907823597855;0.0253472222335452
75;0.0173547150150534;0.0276440201569939;0.0264280493829105;0.0258373008504991
76;0.0194126055725133;0.0302654190198055;0.0256339995710991;0.0260322945358496
77;0.0218682196005144;0.0332406652432093;0.0246310258501976;0.0260888183491638
78;0.0245534239190059;0.0366698951953694;0.0236015223260148;0.0260133405116185
79;0.0276521808561928;0.0407536630210401;0.022545332816171;0.0255435538202978
80;0.0311443797371132;0.0458743897843614;0.0213634914381555;0.0246435446377178
81;0.0353863798032731;0.0519562151732333;0.0199065524889101;0.0234856562053211
82;0.0403282880017197;0.0590452803139242;0.0184488373561444;0.0220394580437114
83;0.0462876606092405;0.0676981668023738;0.0167211051703485;0.0205076646343485
84;0.0537300627161443;0.0773385195914381;0.014944740298334;0.0188659357695569
85;0.063271577177705;0.0885766197767715;0.0132697949861604;0.0169287009092167
86;0.0740680600692463;0.102045124378443;0.0117242305384735;0.0149482585478916
87;0.0865960226838347;0.117465148945546;0.0103603660902632;0.012824945331156
88;0.100718734384273;0.13508217240668;0.0093590671076702;0.0107914762917134
89;0.115563283473172;0.155296275853765;0.00872572667693798;0.00916343970013344
90;0.131969700120485;0.177353869119619;0.00809514011392781;0.00775094647803801
91;0.150552913106376;0.201190385607045;0.00747088601266359;0.00647187310146242
92;0.171227943062461;0.227377846507384;0.00667995100698851;0.00538244481041918
93;0.194269725159087;0.255304160625953;0.00582425537772496;0.0041978008631816
94;0.220411975913411;0.285322389767737;0.00490538982845742;0.00287411055349572
95;0.248577210374966;0.317616451450062;0.00414964491367533;0.00170573501209534
96;0.279014288262664;0.351733571565014;0.00365511729798596;0.000440495676826386
97;0.311593329862049;0.387405276620709;0.00318859211636281;0
98;0.346112341872411;0.424302632122175;0.0026809061309466;0
99;0.382297468219664;0.462046329258369;0.00213888044439496;0
100;0.419808243942347;0.500220902716292;0.00146675732552898;0
101;0.458248031756979;0.538392068429484;0.000675098702098265;0
102;0.497179191969995;0.576125732357413;0.0000549661864733431;0
103;0.536141897884036;0.613006978727138;0;0
104;0.574674983152022;0.648657349673644;0;0
105;0.612336903843876;0.68274897704493;0;0
106;0.648724882025087;0.715014568745185;0;0
107;0.683490572610652;0.745252797008661;0;0
108;0.717797470264622;0.774845117539904;0;0
109;0.749802036160347;0.801845584650333;0;0
110;0.779171431992564;0.826147338816912;0;0
